,Parameter Name,Site_keys,LU,ppm
152,TSP - combined,[ 27.792805 -82.368148],"{'Commercial and Services': 0.16, 'Cropland and pasture': 0.63, 'Evergreen forest land': 0.21}",0.010150000000000001
153,TSP - combined,[ 27.947799 -82.457039],{'Commercial and Services': 1.0},0.009405660000000001
154,TSP - combined,[ 27.928356 -82.454539],"{'Commercial and Services': 0.08854166666666667, 'Residential': 0.390625, 'Bays and estuaries': 0.5208333333333334}",0.010519239
155,TSP - combined,[ 27.952244 -82.403427],"{'Industrial and commercial complexes': 0.41, 'Transitional areas': 0.59}",0.00042807
156,TSP - combined,[ 28.019188 -82.121753],"{'Commercial and Services': 0.59, 'Residential': 0.41}",0.009574945999999999
157,TSP - combined,[ 25.899539 -80.38259 ],"{'Commercial and Services': 0.0196078431372549, 'Cropland and pasture': 0.6862745098039216, 'Transportation, communications and services': 0.27450980392156865, 'Herbaceous Rangeland': 0.0196078431372549}",0.011609678
158,TSP - combined,[ 25.808709 -80.301995],"{'Commercial and Services': 0.0759493670886076, 'Residential': 0.2911392405063291, 'Transportation, communications and services': 0.6329113924050633}",0.011614695000000001
159,TSP - combined,[ 25.924539 -80.448388],"{'Commercial and Services': 0.12280701754385964, 'Herbaceous Rangeland': 0.7982456140350878, 'Nonforested wetland': 0.07894736842105263}",0.028931736
160,TSP - combined,[ 25.709823 -80.29394 ],"{'Commercial and Services': 0.11055276381909548, 'Residential': 0.3869346733668342, 'Transportation, communications and services': 0.5025125628140703}",0.011960713999999999
161,TSP - combined,[ 25.794222 -80.215556],"{'Commercial and Services': 0.46411483253588515, 'Residential': 0.014354066985645933, 'Industrial': 0.009569377990430622, 'Transportation, communications and services': 0.5119617224880383}",0.020077925
162,TSP - combined,[ 25.833986 -80.241993],"{'Commercial and Services': 0.055, 'Residential': 0.445, 'Transportation, communications and services': 0.5}",0.007989989
163,TSP - combined,[ 25.79732  -80.132268],"{'Commercial and Services': 0.9, 'Residential': 0.07, 'Transportation, communications and services': 0.03}",0.015006692000000002
164,TSP - combined,[ 25.865652 -80.278383],"{'Commercial and Services': 0.06103286384976526, 'Residential': 0.4694835680751174, 'Transportation, communications and services': 0.4694835680751174}",0.0016028169999999999
165,TSP - combined,[ 25.629826 -80.342275],"{'Deciduous forest land': 0.05, 'Commercial and Services': 0.13, 'Residential': 0.17, 'Other urban or built-up land': 0.36, 'Cropland and pasture': 0.04, 'Transportation, communications and services': 0.25}",0.012710512
166,TSP - combined,[ 25.471944 -80.482778],{'Residential': 1.0},0.018207555
167,TSP - combined,[ 25.932593 -80.162824],"{'Commercial and Services': 0.09, 'Residential': 0.91}",0.017000885
168,TSP - combined,[ 27.784749 -82.659265],"{'Commercial and Services': 0.05555555555555555, 'Residential': 0.7222222222222222, 'Other urban or built-up land': 0.17592592592592593, 'Transportation, communications and services': 0.046296296296296294}",0.000235
169,TSP - combined,[ 27.785866 -82.739875],"{'Commercial and Services': 0.3925233644859813, 'Residential': 0.6074766355140186}",8e-05
